7zip 26.01-1
playerctl 2.4.1-5
polkit 127-3
poppler 26.04.0-1
poppler-data 0.4.12-2
popt 1.19-2
portaudio 1:19.7.0-4
pps-tools 1.0.3-2
procps-ng 4.0.6-1
protobuf 34.1-1
psmisc 23.7-2
python 3.14.4-1
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-cairo 1.29.0-2
python-certifi 2026.04.22-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-click 8.3.3-1
python-configobj 5.0.9-6
python-cryptography 48.0.0-1
python-dulwich 1.1.0-1
python-fastbencode 0.3.10-1
python-filelock 3.29.0-1
python-gobject 3.56.2-1
python-idna 3.13-1
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-linkify-it-py 2.1.0-1
python-markdown-it-py 4.0.0-2
python-mdurl 0.1.2-9
python-merge3 0.0.16-2
python-more-itertools 11.0.2-1
python-packaging 26.2-1
python-patiencediff 0.2.18-2
python-pip 26.1.1-1
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.6-1
python-pycparser 3.00-1
python-pygments 2.20.0-1
python-requests 2.33.1-1
python-rich 15.0.0-1
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.1-1
python-textual 8.2.5-1
python-tqdm 4.67.3-1
python-typing_extensions 4.15.0-3
python-uc-micro-py 2.0.0-1
python-urllib3 2.6.3-1
python-wheel 0.47.0-1
python-yaml 6.0.3-2
qbittorrent 5.2.0-1
qcustomplot 2.1.1-1
qhexedit2 0.8.9-2
qpdf 12.3.2-2
qrcodegencpp-cmake 1.8.0-4
qscintilla-qt5 2.14.1-6
qt5-base 5.15.18+kde+r109-2
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt6-base 6.11.0-3
qt6-declarative 6.11.0-4
qt6-svg 6.11.0-2
qt6-translations 6.11.0-1
qt6-wayland 6.11.0-1
raptor 2.0.16-9
rasqal 1:0.9.33-8
rav1e 0.8.1-2
readline 8.3.003-1
redland 1:1.0.17-10
reflector 2023-5
rhash 1.4.6-1
ripgrep 15.1.0-2
rnnoise 1:0.2-1
rofi 2.0.0-1
rpmextract 1.0-11
rsync 3.4.2-1
rtkit 0.14-1
rubberband 4.0.0-2
run-parts 5.23.2-1
runc 1.4.2-1
sbc 2.2-1
scdoc 1.11.4-1
sdl2-compat 2.32.68-1
sdl3 3.4.8-1
seatd 0.9.3-1
sed 4.10-1
semver 7.7.4-1
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
simde 0.8.2-1
simdjson 1:4.6.3-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.341.0-2
sqlcipher 4.14.0-1
sqlite 3.53.0-2
sqlitebrowser 3.13.1-3
sratom 0.6.22-1
srt 1.5.5-1
startup-notification 0.12-9
steam 1.0.0.85-6
steam-devices 1.0.0.85-6
sudo 1.9.17.p2-2
svt-av1 4.1.0-1
sway 1:1.11-1
swaybg 1.2.2-1
swayidle 1.9.0-1
swayimg 5.2-1
systemd 260.1-2
systemd-libs 260.1-2
systemd-sysvcompat 260.1-2
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.15-1
texinfo 7.3-1
timeshift 25.12.4-1
tinysparql 3.11.1-1
tk 8.6.16-1
tlp 1.10.0-1
tlp-rdw 1.10.0-1
tmux 3.6_a-1
tpm2-tss 4.1.3-1
tree-sitter 0.26.8-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
typescript 5.9.3-2
typescript-language-server 5.1.3-1
tzdata 2026b-1
uchardet 0.0.8-4
udisks2 2.11.1-2
ueberzugpp 2.9.8-3
ufw 0.36.2-7
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.2-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42-1
util-linux-libs 2.42-1
v4l-utils 1.32.0-2
vapoursynth 75-2
verdict 1.4.5-2
vid.stab 1.1.1-2
vim 9.2.0437-1
vim-runtime 9.2.0437-1
vmaf 3.1.0-1
volume_key 0.3.12-12
vte-common 0.84.0-1
vte3 0.84.0-1
vulkan-icd-loader 1.4.341.0-1
vulkan-intel 1:26.0.6-1
vulkan-mesa-implicit-layers 1:26.0.6-1
vulkan-nouveau 1:26.0.6-1
vulkan-radeon 1:26.0.6-1
waybar 0.15.0-2
wayland 1.25.0-1
wayland-protocols 1.48-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-3
which 2.23-1
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wl-clipboard 1:2.3.0-1
wlroots0.19 0.19.3-1
wpa_supplicant 2:2.11-5
x264 3:0.165.r3222.b35605a-2
x265 4.1-1
xapp 3.2.2-1
xapp-symbolic-icons 1.0.9-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.7-1
xdg-desktop-portal 1.20.4-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-wlr 0.8.2-1
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xkeyboard-config 2.47-1
xmlsec 1.3.11-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.22-1
xorg-server-common 21.1.22-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.5.0-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xrdb 1.2.2-2
xorg-xwayland 24.1.11-1
xorgproto 2025.1-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.3-1
yazi 26.1.22-4
yyjson 0.12.0-1
zenity 4.2.2-1
